,avg_DP
1,48.769165206208314
2,50.41421507727476
3,46.948553412909675
4,48.880893615938525
5,43.633706830813196
6,45.325229936519875
7,44.79462958043381
8,42.90965045243673
9,48.60515703647014
10,48.20923050701642
11,42.09161646691861
12,41.505118794668725
13,44.82550186287049
14,42.62883425852498
15,40.676447274913905
16,64.6908405250562
17,51.502413670150034
18,44.930410495755396
19,40.929296034429754
20,55.52175020195989
21,96.6263320149483
